model_name,case_id,repeat_id,dataset,prediction,confidence,ground_truth,n_judge_opinions
gemini/gemini-2.5-flash,0,1,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,0,2,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,0,3,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,100,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,100,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,100,3,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,101,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,101,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,101,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,104,1,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,104,2,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,104,3,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,108,1,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,108,2,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,108,3,nlsy97,NO DECISION,0.0,True,0
gemini/gemini-2.5-flash,109,1,nlsy97,YES,65.0,True,6
gemini/gemini-2.5-flash,109,2,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,109,3,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,10,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,10,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,10,3,nlsy97,YES,80.0,False,6
gemini/gemini-2.5-flash,111,1,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,111,2,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,111,3,nlsy97,NO,85.0,True,6
gemini/gemini-2.5-flash,112,1,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,112,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,112,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,113,1,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,113,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,113,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,114,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,114,2,nlsy97,YES,65.0,False,6
gemini/gemini-2.5-flash,114,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,115,1,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,115,2,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,115,3,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,117,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,117,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,117,3,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,118,1,nlsy97,UNKNOWN,75.0,False,6
gemini/gemini-2.5-flash,118,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,118,3,nlsy97,YES,65.0,False,6
