model_name,case_id,repeat_id,dataset,prediction,confidence,ground_truth,n_judge_opinions
gemini/gemini-2.5-flash,0,1,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,0,2,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,0,3,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,10,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,10,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,10,3,nlsy97,YES,80.0,False,6
gemini/gemini-2.5-flash,11,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,11,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,11,3,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,12,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,12,2,nlsy97,YES,75.0,False,6
gemini/gemini-2.5-flash,12,3,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,13,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,13,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,13,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,14,1,nlsy97,UNKNOWN,75.0,True,6
gemini/gemini-2.5-flash,14,2,nlsy97,NO,65.0,True,6
gemini/gemini-2.5-flash,14,3,nlsy97,NO,60.0,True,6
gemini/gemini-2.5-flash,15,1,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,15,2,nlsy97,YES,70.0,False,6
gemini/gemini-2.5-flash,15,3,nlsy97,NO,65.0,False,6
gemini/gemini-2.5-flash,16,1,nlsy97,NO DECISION,0.0,False,4
gemini/gemini-2.5-flash,16,2,nlsy97,NO DECISION,0.0,False,3
gemini/gemini-2.5-flash,16,3,nlsy97,NO DECISION,0.0,False,3
gemini/gemini-2.5-flash,17,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,17,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,17,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,18,1,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,18,2,nlsy97,NO,78.0,False,6
gemini/gemini-2.5-flash,18,3,nlsy97,NO,75.0,False,6
gemini/gemini-2.5-flash,19,1,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,19,2,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,19,3,nlsy97,NO DECISION,0.0,False,0
gemini/gemini-2.5-flash,1,1,nlsy97,NO,75.0,False,2
gemini/gemini-2.5-flash,1,2,nlsy97,NO,70.0,False,3
gemini/gemini-2.5-flash,1,3,nlsy97,NO,70.0,False,3
gemini/gemini-2.5-flash,20,1,nlsy97,YES,75.0,True,6
gemini/gemini-2.5-flash,20,2,nlsy97,NO,70.0,True,6
gemini/gemini-2.5-flash,20,3,nlsy97,YES,85.0,True,6
gemini/gemini-2.5-flash,21,1,nlsy97,YES,75.0,True,3
gemini/gemini-2.5-flash,21,2,nlsy97,UNKNOWN,75.0,True,4
gemini/gemini-2.5-flash,21,3,nlsy97,YES,75.0,True,4
