model_name,prompt_type,case_id,repeat_id,dataset,ground_truth,prediction,confidence,is_correct,response_time_sec,prompt_tokens,completion_tokens,total_tokens,raw_response,error,timestamp
openai/gpt-4o-mini,system1,27,0,y_arrestedafter2002,True,YES,75,True,1.1347630023956299,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:41.977379
openai/gpt-4o-mini,system1,16,0,y_arrestedafter2002,False,YES,75,False,1.1258108615875244,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:43.112687
openai/gpt-4o-mini,system1,12,0,y_arrestedafter2002,False,YES,75,False,1.2682178020477295,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:44.238833
openai/gpt-4o-mini,system1,22,0,y_arrestedafter2002,True,YES,85,True,0.5495867729187012,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:16:45.507432
openai/gpt-4o-mini,system1,8,0,y_arrestedafter2002,False,YES,75,False,1.113245964050293,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:46.057370
openai/gpt-4o-mini,system1,9,0,y_arrestedafter2002,False,YES,75,False,0.5112881660461426,249,16,265,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:47.171008
openai/gpt-4o-mini,system1,21,0,y_arrestedafter2002,False,YES,75,False,0.5583679676055908,236,16,252,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:47.682831
openai/gpt-4o-mini,system1,0,0,y_arrestedafter2002,True,YES,85,True,0.3982219696044922,248,16,264,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:16:48.241666
openai/gpt-4o-mini,system1,26,0,y_arrestedafter2002,False,NO,75,True,0.4035911560058594,237,16,253,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:16:48.640198
openai/gpt-4o-mini,system1,13,0,y_arrestedafter2002,False,NO,75,True,0.3977820873260498,247,16,263,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:16:49.044368
openai/gpt-4o-mini,system1,15,0,y_arrestedafter2002,True,YES,78,True,1.1660637855529785,244,16,260,"{
  ""prediction"": ""YES"",
  ""confidence"": 78
}",,2026-02-09T22:16:49.442354
openai/gpt-4o-mini,system1,11,0,y_arrestedafter2002,False,YES,75,False,0.3961780071258545,239,16,255,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:50.608584
openai/gpt-4o-mini,system1,17,0,y_arrestedafter2002,False,YES,75,False,0.40139102935791016,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:51.004950
openai/gpt-4o-mini,system1,1,0,y_arrestedafter2002,False,NO,75,True,0.5047476291656494,243,16,259,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:16:51.406660
openai/gpt-4o-mini,system1,4,0,y_arrestedafter2002,False,YES,75,False,0.5539720058441162,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:51.911629
openai/gpt-4o-mini,system1,5,0,y_arrestedafter2002,True,YES,85,True,0.4836161136627197,242,16,258,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:16:52.465882
openai/gpt-4o-mini,system1,2,0,y_arrestedafter2002,False,NO,75,True,0.6996266841888428,235,16,251,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:16:52.949708
openai/gpt-4o-mini,system1,24,0,y_arrestedafter2002,False,YES,75,False,0.44728589057922363,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:53.649655
openai/gpt-4o-mini,system1,3,0,y_arrestedafter2002,False,YES,75,False,0.3931121826171875,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:54.097171
openai/gpt-4o-mini,system1,23,0,y_arrestedafter2002,False,NO,75,True,0.46099376678466797,237,16,253,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:16:54.490667
openai/gpt-4o-mini,system1,25,0,y_arrestedafter2002,True,YES,75,True,0.6649830341339111,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:54.952030
openai/gpt-4o-mini,system1,18,0,y_arrestedafter2002,False,YES,75,False,0.38900303840637207,238,16,254,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:55.617290
openai/gpt-4o-mini,system1,28,0,y_arrestedafter2002,True,YES,85,True,0.4587850570678711,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:16:56.006482
openai/gpt-4o-mini,system1,20,0,y_arrestedafter2002,True,NO,85,False,0.6100978851318359,243,16,259,"{
  ""prediction"": ""NO"",
  ""confidence"": 85
}",,2026-02-09T22:16:56.465433
openai/gpt-4o-mini,system1,7,0,y_arrestedafter2002,False,YES,75,False,0.6732931137084961,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:57.075707
openai/gpt-4o-mini,system1,10,0,y_arrestedafter2002,False,NO,75,True,0.5137088298797607,242,16,258,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:16:57.749238
openai/gpt-4o-mini,system1,14,0,y_arrestedafter2002,True,YES,85,True,0.5859558582305908,249,16,265,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:16:58.263327
openai/gpt-4o-mini,system1,19,0,y_arrestedafter2002,False,YES,85,False,0.44800519943237305,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:16:58.849554
openai/gpt-4o-mini,system1,6,0,y_arrestedafter2002,False,YES,75,False,0.46950602531433105,244,16,260,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:59.297738
openai/gpt-4o-mini,system1,27,1,y_arrestedafter2002,True,YES,75,True,0.47820496559143066,240,16,256,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:16:59.769575
openai/gpt-4o-mini,system1,16,1,y_arrestedafter2002,False,YES,75,False,0.36950206756591797,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:00.247980
openai/gpt-4o-mini,system1,12,1,y_arrestedafter2002,False,NO,75,True,0.41179800033569336,245,16,261,"{
  ""prediction"": ""NO"",
  ""confidence"": 75
}",,2026-02-09T22:17:00.617681
openai/gpt-4o-mini,system1,22,1,y_arrestedafter2002,True,YES,85,True,0.8293602466583252,241,16,257,"{
  ""prediction"": ""YES"",
  ""confidence"": 85
}",,2026-02-09T22:17:01.029664
openai/gpt-4o-mini,system1,8,1,y_arrestedafter2002,False,YES,75,False,0.541295051574707,245,16,261,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:01.859530
openai/gpt-4o-mini,system1,9,1,y_arrestedafter2002,False,YES,75,False,0.5766310691833496,249,16,265,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:02.401056
openai/gpt-4o-mini,system1,21,1,y_arrestedafter2002,False,YES,75,False,0.5403931140899658,236,16,252,"{
  ""prediction"": ""YES"",
  ""confidence"": 75
}",,2026-02-09T22:17:02.977862
