model_name,prompt_type,case_id,mv_prediction,ground_truth,n_reps,n_valid,yes_votes,no_votes,mv_correct
gemini/gemini-2.5-flash,system1,0,YES,True,3,3,3,0,True
gemini/gemini-2.5-flash,system1,1,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,2,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,3,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,4,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,5,NO,True,3,3,0,3,False
gemini/gemini-2.5-flash,system1,6,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,7,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,8,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,9,NO,True,3,3,0,3,False
gemini/gemini-2.5-flash,system1,10,NO,False,3,3,1,2,True
gemini/gemini-2.5-flash,system1,11,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,12,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,13,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,14,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,15,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,16,YES,True,3,3,2,1,True
gemini/gemini-2.5-flash,system1,17,NO,True,2,2,0,2,False
gemini/gemini-2.5-flash,system1,18,NO,True,3,3,0,3,False
gemini/gemini-2.5-flash,system1,19,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,20,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,21,NO,True,2,2,0,2,False
gemini/gemini-2.5-flash,system1,22,NO,True,3,3,0,3,False
gemini/gemini-2.5-flash,system1,23,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,24,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,25,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,26,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,27,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,28,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,29,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,30,YES,True,3,3,3,0,True
gemini/gemini-2.5-flash,system1,31,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,32,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,33,YES,True,3,3,3,0,True
gemini/gemini-2.5-flash,system1,34,YES,True,3,3,3,0,True
gemini/gemini-2.5-flash,system1,35,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,36,YES,False,2,2,2,0,False
gemini/gemini-2.5-flash,system1,37,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,38,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,39,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,40,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,41,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,42,YES,True,3,3,3,0,True
gemini/gemini-2.5-flash,system1,43,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,44,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,45,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,46,NO,True,2,2,0,2,False
gemini/gemini-2.5-flash,system1,47,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,48,NO,True,2,2,0,2,False
gemini/gemini-2.5-flash,system1,49,YES,False,3,3,3,0,False
gemini/gemini-2.5-flash,system1,50,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,51,YES,True,2,2,2,0,True
gemini/gemini-2.5-flash,system1,52,NO,True,2,2,0,2,False
gemini/gemini-2.5-flash,system1,53,NO,False,3,3,0,3,True
gemini/gemini-2.5-flash,system1,54,NO,False,2,2,0,2,True
gemini/gemini-2.5-flash,system1,55,YES,True,3,3,3,0,True
gemini/gemini-2.5-flash,system1,56,NO,False,2,2,0,2,True
